"analysis","k","statistic","p"
"All traits Mantel",30,0.599799782967614,0.0024
"Best screening subset",6,0.848286103132176,0.001
"Honest max-over-k",6,0.841448397324339,0.006
"Honest fixed k=12",12,0.784144644164309,0.004
"Sequential expansion final k=12",12,0.819608507738411,0.002
