population,N,Metopic suture,Supraorbital foramen,Frontal foramen,Trochlear spur,Multiple infraorbital foramina,Transv. zygomatic suture traces (+5mm),Pterion form X-shaped,Epipteric bone,Fronto-temporal articulation,Parietal notch bone,Asteronic bone,Parietal foramen,Inca bone,Triquetrum bone,Ossicle at lambda,Lambdoidal ossicles,Mendosa suture traces,Mastoid foramen exsutural,Occipito-mastoideum ossicle,Interparietal process,Posterior condylar foramen,Hypoglossal canal bridging,Condylar facet double,Precondylar tubercle,Tympanic dehiscence,Foramen spinosum open,Pterygospinous foramen,Transverse palatine suture broken,Transverse palatine suture concave,Palatine torus
Finns,54,0.037,0.555,0,0.135,0.135,0.038,0.076,0.076,0.038,0.211,0.076,0.326,0.057,0.019,0.038,0.211,0.096,0.403,0.057,0.057,0.568,0.25,0.019,0.057,0.019,0.096,0.192,0.173,0.019,0.269
Karelians,43,0.0705,0.448,0.023,0.0805,0.115,0.049,0.0125,0.189,0.036,0.174,0.059,0.2995,0,0,0.0825,0.4565,0.125,0.2755,0.033,0.0345,0.6295,0.0585,0.0555,0,0.049,0.1305,0.165,0.183,0.1365,0.2285
Mordovians,70,0.114,0.414,0.1,0.071,0.205,0.01,0.014,0.233,0.017,0.15,0.057,0.348,0.015,0.01,0.151,0.458,0.106,0.383,0.033,0.05,0.775,0.241,0.086,0.034,0.075,0.182,0.172,0.109,0.093,0.187
Maris,63,0.111,0.428,0.063,0.111,0.086,0.01,0.07,0.071,0.053,0.145,0.048,0.508,0.016,0.048,0.112,0.354,0.097,0.242,0.048,0.032,0.6,0.16,0.06,0.091,0.081,0.138,0.103,0.125,0.036,0.25
Komis,45,0.066,0.454,0.045,0.09,0.068,0.045,0,0.113,0.022,0.272,0.09,0.136,0.022,0.022,0.068,0.431,0.047,0.285,0.142,0.047,0.6,0.035,0.047,0.047,0.024,0.071,0.095,0.071,0,0.238
Udmurts,69,0.087,0.478,0.072,0.101,0.03,0.106,0.01,0.176,0.029,0.087,0.116,0.493,0.014,0.01,0.044,0.308,0.088,0.412,0.029,0.014,0.561,0.185,0.045,0.09,0.045,0.2,0.123,0.061,0.108,0.215
Mansis,50,0.04,0.458,0.021,0.125,0.043,0.065,0.081,0.041,0.01,0.02,0.04,0.44,0.02,0.02,0.02,0.18,0.08,0.44,0.01,0.02,0.5,0.229,0.125,0.021,0.167,0.28,0.12,0.064,0.17,0.149
Khanty,229,0.034,0.493,0.07,0.078,0.043,0.044,0.064,0.17,0.021,0.079,0.031,0.511,0.013,0.026,0.039,0.218,0.021,0.292,0.039,0.057,0.572,0.161,0.044,0.01,0.113,0.244,0.122,0.056,0.079,0.118
Selkups,93,0.064,0.4,0.066,0.102,0.096,0.045,0.044,0.144,0.022,0.022,0.078,0.378,0.01,0.022,0.011,0.355,0.011,0.25,0.011,0.011,0.48,0.19,0.09,0.03,0.054,0.144,0.044,0.055,0.023,0.068
